,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Melikgazi,"91,80","88,71","-3,09",415349,415643,294,239196,248535,9339,100420,115188,14768,133347
Osmangazi,"90,57","86,76","-3,81",665809,666296,487,312296,320552,8256,229070,250817,21747,69735
Selçuklu,"90,18","86,75","-3,43",476024,476450,426,282927,290349,7422,104046,116676,12630,173673
Keçiören,"90,56","86,93","-3,63",693795,694350,555,324987,332145,7158,248143,263761,15618,68384
Kocasinan,"91,07","87,90","-3,17",290446,290720,274,162514,169208,6694,72554,82579,10025,86629
Yenimahalle,"92,23","89,25","-2,98",528482,528889,407,189207,195377,6170,259545,271141,11596,-75764
Onikişubat,"87,83","85,36","-2,47",281489,282225,736,181489,187594,6105,45909,50373,4464,137221
Çankaya,"92,12","89,75","-2,37",717034,717426,392,133418,139421,6003,490695,498771,8076,-359350
Şahinbey,"85,55","82,34","-3,21",606612,603307,-3305,298901,304584,5683,176025,186665,10640,117919
Etimesgut,"92,17","88,73","-3,44",462889,463235,346,170283,175769,5486,219013,230342,11329,-54573
Sincan,"91,25","87,84","-3,41",412360,409800,-2560,225811,230875,5064,113785,124588,10803,106287
Yıldırım,"89,97","86,15","-3,82",475551,475949,398,239603,244574,4971,147576,160203,12627,84371
Kepez,"89,16","85,25","-3,91",436876,436838,-38,163790,168574,4784,190482,199946,9464,-31372
Mamak,"91,22","87,88","-3,34",499456,499854,398,212080,216247,4167,209682,218254,8572,-2007
Şehitkamil,"85,98","83,05","-2,93",527314,525978,-1336,261445,265589,4144,160172,165904,5732,99685
Kütahya,"92,26","89,51","-2,75",193025,192981,-44,112195,116333,4138,48825,53643,4818,62690
Iğdır,"80,16","73,03","-7,13",95186,95131,-55,17575,21692,4117,47160,46754,-406,-25062
Sivas,"90,66","87,58","-3,08",269359,269447,88,173485,177594,4109,49238,54805,5567,122789
Nilüfer,"92,28","89,46","-2,82",385211,384491,-720,125804,129878,4074,199477,210562,11085,-80684
Odunpazarı,"90,91","87,92","-2,99",315994,315689,-305,112438,116361,3923,149042,157848,8806,-41487
Aksaray,"87,40","84,45","-2,95",214944,214880,-64,130183,134052,3869,41689,45024,3335,89028
Pamukkale,"91,41","87,85","-3,56",253514,253717,203,98210,102012,3802,109376,118123,8747,-16111
Afyon,"92,69","89,85","-2,84",219282,218943,-339,125945,129720,3775,57387,63943,6556,65777
Meram,"91,02","88,28","-2,74",240788,241018,230,162024,165578,3554,39471,44168,4697,121410
Uşak,"91,42","88,34","-3,08",191112,190992,-120,82544,86037,3493,75067,79948,4881,6089
Tepebaşı,"91,15","87,64","-3,51",291231,291433,202,104810,108291,3481,134971,144125,9154,-35834
Karatay,"90,05","87,36","-2,69",249629,249205,-424,173033,176419,3386,33633,38237,4604,138182
Karaman,"90,23","86,89","-3,34",145841,145859,18,81213,84473,3260,36484,40441,3957,44032
Merkezefendi,"92,68","89,42","-3,26",250208,250410,202,90562,93810,3248,119815,127438,7623,-33628
Isparta,"91,07","87,69","-3,38",190391,190369,-22,87087,90288,3201,68323,73910,5587,16378
Dulkadiroğlu,"86,74","84,82","-1,92",142663,142811,148,96863,99893,3030,18056,19833,1777,80060
Bolu,"91,87","88,86","-3,01",153987,153903,-84,75170,78146,2976,50919,56777,5858,21369
Pendik,"91,33","88,29","-3,04",547235,547610,375,263472,266439,2967,200861,212044,11183,54395
Çorum,"91,61","89,23","-2,38",218354,218282,-72,109851,112747,2896,76319,79513,3194,33234
Adapazarı,"91,14","87,67","-3,47",204679,204841,162,109310,112198,2888,59328,65053,5725,47145
Alanya,"88,04","83,59","-4,45",231985,231786,-199,87641,90474,2833,97493,100811,3318,-10337
Ortahisar,"89,98","86,57","-3,41",242091,242114,23,123638,126426,2788,74637,80257,5620,46169
İnegöl,"91,38","88,24","-3,14",209075,209285,210,123250,126035,2785,50757,56236,5479,69799
Osmaniye,"86,54","83,23","-3,31",189065,189245,180,101774,104509,2735,47492,50966,3474,53543
Karesi,"92,54","89,44","-3,10",142973,143066,93,64233,66946,2713,55383,59355,3972,7591
Düzce,"92,15","89,40","-2,75",181196,181317,121,109673,112364,2691,42984,47559,4575,64805
Muratpaşa,"88,94","85,53","-3,41",382434,382687,253,98079,100757,2678,218385,223977,5592,-123220
Gebze,"91,50","88,20","-3,30",294635,294789,154,151381,154056,2675,94650,102897,8247,51159
Talas,"90,71","87,24","-3,47",117244,117362,118,56426,59041,2615,37120,41964,4844,17077
Tarsus,"89,00","85,81","-3,19",250653,250007,-646,88184,90794,2610,117401,121323,3922,-30529
İskenderun,"84,36","82,00","-2,36",164655,164775,120,65015,67585,2570,64395,66084,1689,1501
Viranşehir,"80,38","77,72","-2,66",114312,114433,121,41277,43815,2538,47707,44200,-3507,-385
Palandöken,"88,92","84,78","-4,14",122640,122775,135,71745,74253,2508,25691,27913,2222,46340
İzmit,"91,60","88,55","-3,05",275384,275576,192,121266,123757,2491,108853,117047,8194,6710
Yunusemre,"92,60","88,97","-3,63",187783,187917,134,73665,76153,2488,83954,88935,4981,-12782
Antakya,"76,83","74,94","-1,89",213521,213736,215,87203,89677,2474,68862,69031,169,20646
Bartın,"88,65","85,07","-3,58",120714,120738,24,57171,59617,2446,37891,40853,2962,18764
Tokat,"92,50","90,24","-2,26",146087,146035,-52,87391,89801,2410,37571,40268,2697,49533
İlkadım,"89,20","85,83","-3,37",245376,245212,-164,117564,119943,2379,81625,87807,6182,32136
Altındağ,"89,76","86,31","-3,45",294263,294513,250,156144,158521,2377,86646,92279,5633,66242
Yakutiye,"89,75","86,56","-3,19",122984,122590,-394,78698,81056,2358,20649,23312,2663,57744
Kastamonu,"90,06","86,10","-3,96",111460,111355,-105,57156,59489,2333,30985,34681,3696,24808
Yeşilyurt – Malatya,"79,85","77,60","-2,25",212412,212648,236,112676,114977,2301,47067,48053,986,66924
Çukurova,"90,02","87,30","-2,72",287869,288074,205,80467,82626,2159,161389,166526,5137,-83900
Altıeylül,"92,10","88,57","-3,53",140061,140150,89,62408,64520,2112,54755,58117,3362,6403
Üsküdar,"90,88","88,40","-2,48",402615,402766,151,163718,165781,2063,179704,186362,6658,-20581
Adıyaman,"80,22","77,77","-2,45",186863,187051,188,86883,88904,2021,55543,54532,-1011,34372
Manavgat,"89,41","85,32","-4,09",183833,183764,-69,70578,72596,2018,77692,82243,4551,-9647
Elazığ,"86,89","83,17","-3,72",324783,324534,-249,181277,183268,1991,79758,82004,2246,101264
Turhal,"90,75","88,93","-1,82",60802,60860,58,31791,33782,1991,19899,20584,685,13198
Ümraniye,"91,46","88,74","-2,72",534091,534463,372,250158,252143,1985,206839,217062,10223,35081
Ereğli – Zonguldak,"90,91","87,70","-3,21",134736,134823,87,61704,63686,1982,49171,52398,3227,11288
Nevşehir,"91,47","88,44","-3,03",106237,106194,-43,62945,64906,1961,25150,27472,2322,37434
Niğde,"89,04","85,52","-3,52",161579,161852,273,80883,82828,1945,50403,53179,2776,29649
Efeler,"91,00","87,73","-3,27",226258,226267,9,73546,75483,1937,115546,120615,5069,-45132
Tavşanlı,"92,95","90,06","-2,89",78500,78492,-8,48541,50440,1899,17355,18790,1435,31650
Karabük,"89,84","86,39","-3,45",93886,93833,-53,49563,51461,1898,25397,28293,2896,23168
Kartal,"91,69","89,02","-2,67",368489,368700,211,135880,137766,1886,181566,188084,6518,-50318
Atakum,"90,47","86,88","-3,59",170898,171020,122,64149,66027,1878,76415,80765,4350,-14738
Silifke,"90,46","87,50","-2,96",97757,97658,-99,33381,35213,1832,46850,49186,2336,-13973
Akçaabat,"90,46","87,78","-2,68",96125,96184,59,56431,58260,1829,22825,24718,1893,33542
Battalgazi,"80,66","78,84","-1,82",192531,192728,197,117296,119101,1805,30480,31162,682,87939
