İl,1. Tur Katılım Oranı,2. Tur Katılım Oranı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı
ADANA,"87,58","84,69",1615326,1614592,610132,621003,706780,730274
ADIYAMAN,"81,98","79,9",399303,399703,211389,216491,99771,97982
AFYON,"90,16","87,43",536910,536632,301938,312452,136507,148136
AĞRI,"72,86","65,81",307114,307149,68468,68790,142021,129693
AMASYA,"92,14","89,78",256807,256833,130248,134428,88091,92811
ANKARA,"91,23","88,03",4285644,4286019,1772846,1817796,1824023,1909749
ANTALYA,"89,35","85,73",1907463,1906937,667720,689175,890202,926707
ARTVİN,"88,72","86,83",132313,132339,54620,57308,53371,55833
AYDIN,"89,89","86,71",877145,877385,294124,301709,432886,449559
BALIKESİR,"91,18","88,31",990605,990156,399145,412724,431015,450802
BİLECİK,"91,98","88,87",167113,167164,75103,78219,62120,68057
BİNGÖL,"78,69","74,61",193535,193697,94412,95730,47195,44885
BİTLİS,"81,86","76,52",221007,220914,80997,82224,88779,82926
BOLU,"91,43","88,78",236464,236164,128951,133670,65720,73030
BURDUR,"90,75","87,5",204323,204393,93090,97956,73601,77496
BURSA,"90,92","87,46",2367412,2368156,1089602,1118511,859707,927775
ÇANAKKALE,"91,65","88,94",436260,436251,155165,160736,214450,222754
ÇANKIRI,"88,93","86,39",141860,141965,88908,92593,25065,28040
ÇORUM,"90,85","88,61",399038,398884,218807,225583,117373,122664
DENİZLİ,"91,66","88,51",795283,795302,312634,326035,344527,367447
DİYARBAKIR,"81,7","76,09",1147014,1145856,239827,242074,651793,611981
EDİRNE,"90,31","87,61",320299,319972,91025,91801,179873,185607
ELAZIĞ,"85,8","82,31",431293,431125,242098,244904,101764,103607
ERZİNCAN,"90,5","88,84",170013,169765,89811,92243,54049,56142
ERZURUM,"86,27","83,09",510281,510238,295655,306489,105892,110188
ESKİŞEHİR,"90,84","87,65",689529,689458,257707,266063,310550,330595
GAZİANTEP,"85,69","82,69",1361806,1360925,684050,697194,396593,414367
GİRESUN,"88,32","85,82",349475,349478,183750,190440,99079,103960
GÜMÜŞHANE,"82,88","81,02",96626,96579,58267,60401,15598,16505
HAKKARİ,"83,57","78,14",186358,186493,37188,39754,109148,102784
HATAY,"83,17","81,78",1062886,1063539,418228,430651,418709,428258
ISPARTA,"89,73","86,57",328395,328442,154331,160927,109962,118138
MERSİN,"89,42","86,31",1380533,1379761,455498,467668,693167,709410
İSTANBUL,"90,53","87,84",11367598,11366352,473680,4768657,4928772,5121594
İZMİR,"90,26","87,23",3445505,3444651,964470,978316,1939651,1998359
KARS,"79,56","74,24",185196,185290,56366,59057,78105,76383
KASTAMONU,"88,08","85,09",295328,295629,165570,172280,67390,74804
KAYSERİ,"90,99","87,95",1026972,1027278,582088,604784,252613,285990
KIRKLARELİ,"91,14","88,59",291771,291786,79824,80875,170348,175251
KIRŞEHİR,"87,55","83,84",174209,174092,80871,82464,57984,61401
KOCAELİ,"91,54","88,45",1516293,1516405,740508,754914,528534,569245
KONYA,"89,17","86,07",1630437,1630747,983270,1008416,341123,373100
KÜTAHYA,"91,95","89,35",430548,430584,256211,266424,101909,110993
MALATYA,"81,7","79,95",531448,531620,296188,302280,115695,117804
MANİSA,"91,99","88,65",1107246,1107127,468849,485424,458205,481622
K.MARAŞ,"85,41","83,16",753538,754323,453535,469039,140066,150013
MARDİN,"82,76","78,91",542046,542375,141234,146215,289109,274420
MUĞLA,"90,02","87,07",806442,806290,225948,232111,448925,461644
MUŞ,"78,68","73,58",242647,242930,72102,72704,108519,101792
NEVŞEHİR,"90,51","87,93",225497,225541,125889,129867,61350,65310
NİĞDE,"88,3","84,97",258263,258360,130421,133950,77875,81941
ORDU,"87,63","84,35",590582,590942,312502,320120,163148,170786
RİZE,"89,1","87,19",265362,265346,169230,173248,51211,55145
SAKARYA,"91,57","88,67",784638,784465,457175,469765,196777,216128
SAMSUN,"89,36","86,3",1024653,1024746,555696,570063,281961,302436
SİİRT,"83,37","78,66",201853,202135,67465,69113,91352,85992
SİNOP,"87,79","85,57",171843,171848,85405,89454,51751,55184
SİVAS,"89,21","86,8",460697,460927,280294,288136,97940,106082
TEKİRDAĞ,"90,54","87,42",858412,858198,298503,302233,424099,440815
TOKAT,"90,69","88,78",439905,440039,246880,255247,122560,129769
TRABZON,"89,12","86,39",612170,612387,349217,358915,151436,162055
TUNCELİ,"87,35","87,47",65578,65606,9178,9778,45457,47112
ŞANLIURFA,"81,83","77,89",1221634,1221484,606584,610116,352939,330565
UŞAK,"90,99","87,99",280741,280674,118509,123777,112365,118815
VAN,"78,62","72,24",707861,707521,191106,193036,334192,308421
YOZGAT,"86,63","84,54",300575,300200,185629,190924,54485,59098
ZONGULDAK,"89,29","86,18",457832,457959,205720,211991,164898,174859
AKSARAY,"86,88","84,21",296566,296571,180181,185625,56425,60611
BAYBURT,"87,33","85,62",57170,57185,38754,39731,7560,8455
KARAMAN,"89,7","86,41",188052,188089,100850,105317,49647,54533
KIRIKKALE,89,"84,93",203290,203153,105648,108346,58598,61710
BATMAN,"84,93","80,28",400078,400071,101386,100177,221356,123499
ŞIRNAK,"84,6","79,84",324504,324738,57228,60133,202543,193639
BARTIN,"88,31","85,12",156092,156131,74428,77963,48409,51971
ARDAHAN,"82,78","79,3",68134,68115,21355,22497,30619,30657
IĞDIR,"79,06","71,92",133968,133959,26056,31501,64369,63326
YALOVA,"87,13","83,64",204857,204943,83608,85212,79547,83799
KARABÜK,"89,59","86,51",182049,182053,94396,98521,50937,56084
KİLİS,"88,85","84,74",97198,97046,55451,57337,22853,24580
OSMANİYE,"87,73","84,4",386647,386479,206929,212942,102070,108743
DÜZCE,"92,26","89,81",294637,294580,182976,187783,66447,73278
